model,term,estimate_log_rr,rr,ci_low_rr,ci_high_rr,p_value
lags_raw_plus_flipflops,C(prefecture_code)[T.JP-20],0.0265610579037229,1.0269169467435788,1.0082333816567148,1.0459467368322193,0.004579297394694553
lags_raw_plus_flipflops,C(prefecture_code)[T.JP-21],0.33089706485333953,1.3922164769249905,1.3678980015048974,1.4169672859299758,1.6158934335674273e-296
lags_raw_plus_flipflops,C(prefecture_code)[T.JP-22],0.15199855388986905,1.1641585529294176,1.1442964731681702,1.1843653879369607,3.828983878925943e-67
lags_raw_plus_flipflops,C(prefecture_code)[T.JP-23],0.12818188801413022,1.136759746867248,1.1187090768819679,1.155101669237666,1.620041987603771e-55
lags_raw_plus_flipflops,C(prefecture_code)[T.JP-24],0.3413264318141811,1.406812394239021,1.3788769367329186,1.4353138121766063,6.334560643223124e-244
lags_raw_plus_flipflops,C(prefecture_code)[T.JP-25],-0.02968432905648442,0.9707519233623505,0.9480429051036584,0.9940049038272859,0.013977184982893954
lags_raw_plus_flipflops,C(prefecture_code)[T.JP-26],0.18792982717790813,1.2067488314073285,1.1846444593541676,1.2292656506382114,2.5255486454364023e-88
lags_raw_plus_flipflops,C(prefecture_code)[T.JP-27],0.19465265957029376,1.2148889331517938,1.195998919300257,1.2340773023091365,6.50896754685392e-131
lags_raw_plus_flipflops,C(prefecture_code)[T.JP-28],0.02202772389030858,1.0222721254378466,1.0055205580513265,1.0393027671880466,0.008974098012810891
lags_raw_plus_flipflops,C(prefecture_code)[T.JP-29],0.2530738133647144,1.287978343341199,1.260235694426556,1.3163317149739853,7.393189369915675e-115
lags_raw_plus_flipflops,C(prefecture_code)[T.JP-30],0.16490444620233027,1.1792804286040217,1.1489508303846767,1.2104106568449657,2.4651439132113155e-35
lags_raw_plus_flipflops,C(prefecture_code)[T.JP-31],0.37411710049495156,1.4537073703428234,1.4129694081401913,1.495619867220348,9.484560872708015e-147
lags_raw_plus_flipflops,C(prefecture_code)[T.JP-32],0.3636988671790306,1.4386409269221305,1.4004785791977434,1.477843179722875,6.6061482163475375e-155
lags_raw_plus_flipflops,C(prefecture_code)[T.JP-33],0.026357971801441307,1.0267084153591275,1.0053429762804904,1.0485279104144742,0.014025324522963675
lags_raw_plus_flipflops,C(prefecture_code)[T.JP-34],-0.1737394962058481,0.8405158267031708,0.8240902145005555,0.85726883113965,1.0422260455750143e-66
lags_raw_plus_flipflops,C(prefecture_code)[T.JP-35],0.16790305863348057,1.1828219407144887,1.1559741032448403,1.2102933270809275,1.3588101749607722e-46
lags_raw_plus_flipflops,C(prefecture_code)[T.JP-36],-0.1053152852171978,0.9000407083171863,0.8724425083510438,0.928511929295121,3.4050194607781156e-11
lags_raw_plus_flipflops,C(prefecture_code)[T.JP-37],0.10914181249969207,1.1153205055158375,1.0855565948702797,1.145900486351658,2.60719805294646e-15
lags_raw_plus_flipflops,C(prefecture_code)[T.JP-38],0.3715156225160072,1.4499304974868872,1.4196971186946845,1.4808077158566706,1.175943163457708e-261
lags_raw_plus_flipflops,C(prefecture_code)[T.JP-39],0.059364005097522696,1.0611614386198485,1.029878047817633,1.09339508808828,0.00010095798979456284
lags_raw_plus_flipflops,C(prefecture_code)[T.JP-40],-0.3448315532160679,0.7083396609568562,0.6950093229108448,0.721925676022676,3.4969963714005156e-277
lags_raw_plus_flipflops,C(prefecture_code)[T.JP-41],-0.06459333204857522,0.9374486161791435,0.9094073492811752,0.9663545260227233,3.062495310410378e-05
lags_raw_plus_flipflops,C(prefecture_code)[T.JP-42],0.06297159054766199,1.0649965828318635,1.038897523077244,1.0917513000550443,6.545472228150309e-07
lags_raw_plus_flipflops,C(prefecture_code)[T.JP-43],0.12301312786539845,1.130899267143398,1.1067392447578355,1.155586700736646,6.072706480364298e-29
lags_raw_plus_flipflops,C(prefecture_code)[T.JP-44],0.0050383318390640735,1.005051045575965,0.979553917478097,1.0312118467291282,0.7007604427012597
lags_raw_plus_flipflops,C(prefecture_code)[T.JP-45],0.0353712782565382,1.036004283267194,1.0093884005499112,1.0633219822649438,0.00772937120906544
lags_raw_plus_flipflops,C(prefecture_code)[T.JP-46],0.17146630137729701,1.1870441403056624,1.1596426468621848,1.2150931106636573,5.987511979527723e-47
lags_raw_plus_flipflops,C(prefecture_code)[T.JP-47],0.13708159091532138,1.146921723096118,1.114116843257823,1.180692534064274,2.0750460431216213e-20
lags_raw_plus_flipflops,C(month)[T.2],-0.11334383222722144,0.8928436189236569,0.8846450558045661,0.9011181632928285,3.914408472337928e-128
lags_raw_plus_flipflops,C(month)[T.3],-0.19239977560835414,0.8249769968779581,0.8166842278971925,0.8333539722325207,6.38821679974954e-305
lags_raw_plus_flipflops,C(month)[T.4],-0.2275560015004918,0.7964778162957035,0.7862875755716514,0.8068001219400726,7.163193164874062e-263
