prefecture_code,year,population
JP-18,2003,828289.6
JP-18,2004,824472.8
JP-18,2005,819904.0
JP-18,2006,818367.4
JP-18,2007,816078.8
JP-18,2008,808790.2
JP-18,2009,807501.6
JP-18,2010,798202.0
JP-18,2011,802972.2
JP-18,2012,797731.4
JP-18,2013,789490.6
JP-18,2014,786249.8
JP-18,2015,776296.0
JP-18,2016,778758.0
JP-18,2017,775507.0
JP-18,2018,769256.0
JP-18,2019,763005.0
JP-18,2020,755574.0
JP-19,1975,782880.0
JP-19,1976,785556.2
JP-19,1977,789249.4
JP-19,1978,791942.6
JP-19,1979,794635.8
JP-19,1980,804066.0
JP-19,1981,806822.6
JP-19,1982,811829.2
JP-19,1983,817835.8
JP-19,1984,820842.4
JP-19,1985,832811.0
JP-19,1986,838120.4
JP-19,1987,842391.8
JP-19,1988,846663.2
JP-19,1989,850934.6
JP-19,1990,852205.0
JP-19,1991,857784.0
JP-19,1992,863362.0
JP-19,1993,863940.0
JP-19,1994,869518.0
JP-19,1995,881865.0
JP-19,1996,883789.4
JP-19,1997,889482.8
JP-19,1998,893176.2
JP-19,1999,893869.6
JP-19,2000,887839.0
JP-19,2001,890028.6
JP-19,2002,890494.2
JP-19,2003,887959.8
JP-19,2004,884425.4
JP-19,2005,883477.0
JP-19,2006,878398.6
JP-19,2007,876906.2
JP-19,2008,870413.8
JP-19,2009,863921.4
JP-19,2010,857981.0
JP-19,2011,855153.4
JP-19,2012,849877.8
JP-19,2013,844602.2
JP-19,2014,840326.6
JP-19,2015,825067.0
JP-19,2016,826120.6
JP-19,2017,822190.2
JP-19,2018,812259.8
JP-19,2019,809329.4
JP-19,2020,790408.0
JP-20,1975,2017411.0
JP-20,1976,2028878.4
JP-20,1977,2046432.8
JP-20,1978,2060987.2
JP-20,1979,2070541.6
JP-20,1980,2083901.0
JP-20,1981,2089150.8
JP-20,1982,2102167.6
JP-20,1983,2106184.4
JP-20,1984,2118201.2
JP-20,1985,2136884.0
JP-20,1986,2143788.2
JP-20,1987,2151358.4
JP-20,1988,2152928.6
JP-20,1989,2156498.8
JP-20,1990,2156155.0
JP-20,1991,2161243.6
JP-20,1992,2165418.2
JP-20,1993,2167592.8
JP-20,1994,2175767.4
JP-20,1995,2193539.0
JP-20,1996,2207260.2
JP-20,1997,2212578.4
JP-20,1998,2215896.6
JP-20,1999,2223214.8
JP-20,2000,2213748.0
JP-20,2001,2224584.4
JP-20,2002,2219635.8
JP-20,2003,2218687.2
JP-20,2004,2212738.6
JP-20,2005,2194117.0
JP-20,2006,2185541.2
JP-20,2007,2174292.4
JP-20,2008,2170043.6
JP-20,2009,2154794.8
JP-20,2010,2145726.0
JP-20,2011,2137511.6
JP-20,2012,2130477.2
JP-20,2013,2116442.8
JP-20,2014,2107408.4
JP-20,2015,2081248.0
JP-20,2016,2082923.0
JP-20,2017,2070472.0
JP-20,2018,2058021.0
JP-20,2019,2044570.0
JP-20,2020,2006307.0
JP-21,1975,1867763.0
JP-21,1976,1889088.4
JP-21,1977,1912037.8
JP-21,1978,1927987.2
JP-21,1979,1941936.6
JP-21,1980,1960007.0
JP-21,1981,1974929.6
JP-21,1982,1989929.2
JP-21,1983,2001928.8
JP-21,1984,2012928.4
JP-21,1985,2028403.0
JP-21,1986,2036401.8
JP-21,1987,2045875.6
JP-21,1988,2052349.4
JP-21,1989,2060823.2
JP-21,1990,2065555.0
JP-21,1991,2071437.8
JP-21,1992,2080578.6
JP-21,1993,2086719.4
JP-21,1994,2091860.2
JP-21,1995,2100140.0
JP-21,1996,2103386.2
JP-21,1997,2109771.4
JP-21,1998,2114156.6
JP-21,1999,2118541.8
JP-21,2000,2106829.0
JP-21,2001,2111153.8
JP-21,2002,2113380.6
JP-21,2003,2111607.4
JP-21,2004,2111834.2
JP-21,2005,2105164.0
JP-21,2006,2104443.4
JP-21,2007,2102825.8
JP-21,2008,2100208.2
JP-21,2009,2090590.6
JP-21,2010,2071289.0
JP-21,2011,2072206.6
JP-21,2012,2059440.2
JP-21,2013,2049673.8
JP-21,2014,2038907.4
JP-21,2015,2019002.0
JP-21,2016,2018376.8
JP-21,2017,2003612.6
JP-21,2018,1994848.4
JP-21,2019,1986084.2
JP-21,2020,1938230.0
JP-22,1975,3308555.0
JP-22,1976,3339989.6
JP-22,1977,3370366.2
JP-22,1978,3397742.8
JP-22,1979,3420119.4
JP-22,1980,3446518.0
JP-22,1981,3467506.8
JP-22,1982,3493912.6
JP-22,1983,3517318.4
JP-22,1984,3538724.2
JP-22,1985,3574258.0
JP-22,1986,3597534.6
JP-22,1987,3619939.2
JP-22,1988,3636343.8
JP-22,1989,3650748.4
JP-22,1990,3669598.0
JP-22,1991,3686958.4
JP-22,1992,3699763.8
JP-22,1993,3711569.2
JP-22,1994,3724374.6
JP-22,1995,3737171.0
JP-22,1996,3747934.6
JP-22,1997,3756689.2
JP-22,1998,3766443.8
JP-22,1999,3778198.4
JP-22,2000,3766399.0
JP-22,2001,3781272.2
JP-22,2002,3790591.4
JP-22,2003,3798910.6
JP-22,2004,3800229.8
JP-22,2005,3786583.0
JP-22,2006,3796775.4
JP-22,2007,3795001.8
JP-22,2008,3797228.2
JP-22,2009,3784454.6
JP-22,2010,3742099.0
JP-22,2011,3744781.4
JP-22,2012,3731881.8
JP-22,2013,3723982.2
JP-22,2014,3704082.6
JP-22,2015,3672516.0
JP-22,2016,3681923.2
JP-22,2017,3667663.4
JP-22,2018,3649403.6
JP-22,2019,3641143.8
JP-22,2020,3591869.0
JP-23,1975,5922841.0
JP-23,1976,5993938.0
JP-23,1977,6062248.0
JP-23,1978,6126558.0
JP-23,1979,6184868.0
JP-23,1980,6219842.0
JP-23,1981,6267577.8
JP-23,1982,6310732.6
JP-23,1983,6354887.4
JP-23,1984,6409042.2
JP-23,1985,6452039.0
JP-23,1986,6511776.4
JP-23,1987,6558355.8
JP-23,1988,6593935.2
JP-23,1989,6631514.6
JP-23,1990,6677765.0
JP-23,1991,6723941.8
JP-23,1992,6767789.6
JP-23,1993,6796637.4
JP-23,1994,6823485.2
JP-23,1995,6858902.0
JP-23,1996,6899979.6
JP-23,1997,6930626.2
JP-23,1998,6978272.8
JP-23,1999,7013919.4
JP-23,2000,7015750.0
JP-23,2001,7089439.4
JP-23,2002,7127312.8
JP-23,2003,7159186.2
JP-23,2004,7197059.6
JP-23,2005,7218243.0
JP-23,2006,7305671.8
JP-23,2007,7356410.6
JP-23,2008,7399149.4
JP-23,2009,7411888.2
JP-23,2010,7347210.0
