prefecture_code,target_variable,frequency_band,model_name,split,selected_candidate,n_observations,mae,rmse,nrmse_std,r2,pearson_correlation
JP-31,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.009215101440316453,0.011826141478326113,0.9837610013628031,0.032214292197654926,0.24425187674238938
JP-32,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.010879916933047015,0.013358571197661399,0.962871473356423,0.07287852579643106,0.3192132916521386
JP-33,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.004889183912283222,0.006377318213204722,0.8425548448790725,0.290101333370802,0.5464605454369925
JP-34,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.00694485828701097,0.008804202509138891,0.9386728899649495,0.11889320564484984,0.35566720694819853
JP-35,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.010173715453576522,0.01275623971345525,0.9137463450683857,0.1650676168741665,0.412269605260619
JP-36,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.010501827584677065,0.013220528071662543,0.9502553364072096,0.09701479562962079,0.35962249629447535
JP-37,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4364,0.010741176949402803,0.013672402097376453,0.9454665864343826,0.10609293393611596,0.3586059798193693
JP-38,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.011002551619270521,0.013894098902553354,0.9281356343627882,0.13856424422598457,0.3892402219297073
JP-39,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4363,0.008569727855596065,0.01068503399229991,0.9540123525634099,0.08986043115642817,0.30770711213061464
JP-40,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.00503108641845586,0.006282673521003738,0.9439727841317269,0.10891538281859603,0.33310966650119983
JP-41,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.00985645450830143,0.012312867879551196,0.9375391794631877,0.12102028697149292,0.36207246548057476
