variable,component,mean_period_days,median_period_days,min_period_days,max_period_days,n_series
tp,semiannual,183.13713545713546,186.1818181818182,157.53846153846155,204.8,45
tp,subseasonal,12.488716291241397,10.901327897165832,7.086505190311419,27.30666666666667,46
tp,trend,887.4666666666666,1024.0,682.6666666666666,1024.0,5
w2c_event,annual,353.63990929705216,341.3333333333333,292.57142857142856,512.0,42
w2c_event,high_frequency,3.223490529213899,3.1315057924084964,2.017733990147783,6.38006230529595,46
w2c_event,interannual,457.6716181422064,512.0,7.529411764705882,682.6666666666666,9
w2c_event,original,8.0165206069747,4.345615812581098,2.0357852882703775,29.257142857142856,46
w2c_event,reconstructed_signal,8.0165206069747,4.345615812581098,2.0357852882703775,29.257142857142856,46
w2c_event,reconstruction_residual,16.765167777003473,4.491422470386242,2.087665647298675,341.3333333333333,46
w2c_event,seasonal_subannual,60.70562342221885,61.14795008912656,29.681159420289855,146.28571428571428,46
w2c_event,semiannual,208.8243273634578,186.1818181818182,157.53846153846155,682.6666666666666,46
w2c_event,subseasonal,14.407274087787933,15.63358778625954,7.474452554744525,29.257142857142856,46
w2c_event,trend,1024.0,1024.0,1024.0,1024.0,1
w2c_transition_intensity,annual,354.1475083056478,341.3333333333333,292.57142857142856,512.0,43
w2c_transition_intensity,high_frequency,3.4228076416551003,3.2800311852444555,2.019723865877712,6.989761092150171,46
w2c_transition_intensity,interannual,478.1609195402299,512.0,70.62068965517241,682.6666666666666,8
w2c_transition_intensity,original,8.155090497490585,4.876439274112625,2.0357852882703775,29.257142857142856,46
w2c_transition_intensity,reconstructed_signal,8.155090497490585,4.876439274112625,2.0357852882703775,29.257142857142856,46
w2c_transition_intensity,reconstruction_residual,19.19477988266271,4.546015282770542,2.077079107505071,341.3333333333333,46
w2c_transition_intensity,seasonal_subannual,54.96795544833988,55.351351351351354,29.681159420289855,146.28571428571428,46
w2c_transition_intensity,semiannual,187.28253306482068,186.1818181818182,2.0337636544190665,292.57142857142856,44
w2c_transition_intensity,subseasonal,14.155768088888586,15.574369650705528,8.291497975708502,29.257142857142856,46
w2c_transition_intensity,trend,1024.0,1024.0,1024.0,1024.0,1
