component,singular_value,norm,variance_fraction,cumulative_variance_fraction,dominant_period_days,assigned_band,prefecture_code,variable
102,137.90131447335725,137.90131447335725,7.012252846918514e-05,0.993983927787003,7.114285714285715,subseasonal,JP-13,ah
103,136.7280744054546,136.7280744054546,6.893442393709604e-05,0.99405286221094,5.742138364779874,high_frequency,JP-13,ah
104,135.73257010469678,135.73257010469678,6.79342680954705e-05,0.9941207964790355,5.7361256544502615,high_frequency,JP-13,ah
105,135.35218399622363,135.35218399622363,6.755403449023644e-05,0.9941883505135257,7.023076923076923,subseasonal,JP-13,ah
106,135.26097659839078,135.26097659839078,6.746302226463942e-05,0.9942558135357904,7.023076923076923,subseasonal,JP-13,ah
107,134.29163298859288,134.29163298859288,6.649954371991492e-05,0.9943223130795104,8.401840490797545,subseasonal,JP-13,ah
108,134.19089282408,134.19089282408,6.639981059283969e-05,0.9943887128901032,8.401840490797545,subseasonal,JP-13,ah
109,133.61217596139042,133.61217596139042,6.582832874271458e-05,0.9944545412188459,5.742138364779874,high_frequency,JP-13,ah
110,131.92462099198096,131.92462099198096,6.417597360132909e-05,0.9945187171924472,4.998175182481752,high_frequency,JP-13,ah
111,131.85027523143262,131.85027523143262,6.410366159271661e-05,0.9945828208540399,4.998175182481752,high_frequency,JP-13,ah
112,131.3747624159716,131.3747624159716,6.364212070804744e-05,0.994646462974748,6.217934165720771,high_frequency,JP-13,ah
113,130.84431647070883,130.84431647070883,6.31292284103355e-05,0.9947095922031584,7.217391304347826,subseasonal,JP-13,ah
114,129.14796876249443,129.14796876249443,6.150294551835173e-05,0.9947710951486767,9.269035532994923,subseasonal,JP-13,ah
115,128.76581370283796,128.76581370283796,6.113950368020524e-05,0.9948322346523569,9.269035532994923,subseasonal,JP-13,ah
116,128.74066095021922,128.74066095021922,6.111562037500649e-05,0.994893350272732,9.269035532994923,subseasonal,JP-13,ah
117,128.24110422560918,128.24110422560918,6.0642242590194114e-05,0.9949539925153221,5.091078066914498,high_frequency,JP-13,ah
118,127.50470844078158,127.50470844078158,5.994779323130567e-05,0.9950139403085534,5.091078066914498,high_frequency,JP-13,ah
119,126.92303264511106,126.92303264511106,5.940207783045194e-05,0.9950733423863839,5.434523809523809,high_frequency,JP-13,ah
120,126.75536859872862,126.75536859872862,5.9245242396183386e-05,0.9951325876287801,5.434523809523809,high_frequency,JP-13,ah
121,126.27183672964848,126.27183672964848,5.879410058611324e-05,0.9951913817293662,6.680487804878049,high_frequency,JP-13,ah
122,124.88502742018731,124.88502742018731,5.7509753052658427e-05,0.9952488914824188,6.779702970297029,high_frequency,JP-13,ah
123,123.9176012404663,123.9176012404663,5.662220156578683e-05,0.9953055136839846,5.27237728585178,high_frequency,JP-13,ah
124,123.46328796113332,123.46328796113332,5.62077800135084e-05,0.995361721463998,5.27237728585178,high_frequency,JP-13,ah
125,122.97520081718024,122.97520081718024,5.576424627488371e-05,0.9954174857102729,6.107023411371237,high_frequency,JP-13,ah
